raw_character_text,dialogue
Marge Simpson,"No, I just think you should talk to Bart about-- Good Lord!"
Marge Simpson,"Homer, do you have an explanation for this bill?"
Homer Simpson,"It's that record club. The first nine were only a penny. Then they jacked up the price! It's not fair, it's not fair I tells ya."
Marge Simpson,"No, no. Someone made three hundred dollars worth of phone calls to something called ""The Corey hotline."""
Homer Simpson,Wasn't me.
Marge Simpson,Lisa.
Marge Simpson,"Why didn't you ask our permission, Lisa?"
Lisa Simpson,I did.
Lisa Simpson,"Dad, can I..."
Homer Simpson,"Yeah, yeah, yeah."
Marge Simpson,"Aw honey, I know what you're going through. When I was a girl I had a crush on Bobby Sherman."
Lisa Simpson,
Marge Simpson,"The point is, I want you to stop making these calls."
Lisa Simpson,"All right, Mom. I promise you will never be billed for another call. Bobby Sherman..."
Marge Simpson,
,
,
TOM,Your dad ever take you to baseball games?
Bart Simpson,"Nah, his game was blackjack. He bet our life savings on a single hand."
Homer Simpson,Hit me.
Dealer,Twenty.
Homer Simpson,Hit me.
Dealer,Twenty-one.
Homer Simpson,Hit me.
Dealer,Twenty-two.
Homer Simpson,
TOM,If I ever meet your dad .
Announcer,The start of the game will be delayed so we can introduce the recruiter for the Springfield Communist Party.
Fans,BOO!
Small Man,"Eh, this is better than dart day."
,
Dr. Julius Hibbert,"Now let those ear drops sit for 20 minutes. If you get bored, here's a M*A*S*H coloring book. Here's a good one. ""Hawkeye's antics irritate the other surgeons."""
Dr. Julius Hibbert,"Hi, you've reached the Corey hotline. $4.95 a minute. Here are some words that rhyme with Corey: Glory. Story. Allegory. Montessori..."
TOM,"Okay, Bart. Tomorrow we'll blast your quads."
Chihuahua,"This meatball soup is delicious, Stimpy."
Cat,That's not meatball soup. That's my collection of furballs in stomach acid.
Chihuahua,"You idiot!! You're trying to kill me, man."
Bart Simpson,
,
Bart Simpson,"Someday I want to be an F-14 pilot like my hero, Tom. He lent me this new weapon called a Neural Disrupter."
Edna Krabappel-Flanders,"He's not dead, is he Bart?"
Bart Simpson,Nah... But I wouldn't give him any homework for a while.
Edna Krabappel-Flanders,"Very good, Bart. Thank you."
Bart Simpson,"Oh, don't thank me. Thank an unprece-dented eight-year military build-up."
Edna Krabappel-Flanders,"Hm. Milhouse, you're next."
Milhouse Van Houten,Uhhh... I have a horsie.
Nelson Muntz,Wuss!
,
Grampa Simpson,"Lisa, I'm glad you came. I know you young-uns think we old timers aren't any fun. But we'll show 'em. We'll show `em all! Heh, heh, heh, heh."
Grampa Simpson,"Hi, this is Corey. I hope you and I can get married some day."
,
Homer Simpson,"Hey, boy! Where you going?"
Bart Simpson,Father-son picnic.
Homer Simpson,Have a good time! Wait a minute.
Seymour Skinner,"Lisa, I know I can trust you to inventory this Glee Club peanut brittle."
Lisa Simpson,"Yes, Principal Skinner."
Seymour Skinner,"Now, I've gotta slash 40 percent out of the budget."
Seymour Skinner,Science...
Seymour Skinner,"Ah, music and art."
Seymour Skinner,What in blazes?!
Seymour Skinner,Good Lord... That's a 900 number!
Corey,"Let's see what's in the newspaper today... Hmmm... ""Canada Stalls On Trade Pact""..."
,
Corey,"Hey, look at that forest fire down there."
Bart Simpson,Yeah. Great.
TOM,What's the matter?
Bart Simpson,Well... I've been thinking. You've been really great to me... but there's probably some other kid who needs you even more.
TOM,"Bart, I could kiss you, if the Bigger Brothers hadn't made me sign a form promising I wouldn't. No one needs me more than a child with your tragic upbringing. Now, let's set down at that Frogurt stand."
Homer Simpson,So that's it!
,
Homer Simpson,"Hello, son. Where have you been?"
Bart Simpson,Playing with Milhouse.
Homer Simpson,"No, you haven't! You've been out gallivanting around with that floozy of a bigger brother of yours! Haven't you, haven't you. Look at me."
Bart Simpson,"Dad, it just kinda happened. You're taking this too hard."
Homer Simpson,"How would you like me to take it? ""Go ahead, Bart, have your fun, I'll be waiting for you?"" I'm sorry, I can't do it."
Bart Simpson,"Well, what are you going to do?"
Bart Simpson,"Ho, ho, you'll see."
,
Agency Worker,And what are your reasons for wanting a little brother?
Homer Simpson,Uh... Revenge.
Homer Simpson,What the?
Agency Worker,"Welcome aboard, Mr. Simpson!"
,
Agency Worker,Any of these boys would be thrilled to have a bigger brother like you.
Homer Simpson,Ugly... wiener... crater face... Soo-ee! Soo-ee!...
Homer Simpson,"Ehhh, maybe this was a mistake."
Pepi,Do you have a bigger brother for me yet? Okay. I'll be back in an hour.
Homer Simpson,I'll take him! Do you have him in blonde?
,
Marge Simpson,"Lisa, the only way you'll lick this is one day at a time. If you can make it till midnight without calling the Corey line, you'll know you've beaten it forever."
Lisa Simpson,Midnight?
Seymour Skinner,"Listen to your mother, Lisa. I owe everything I have to my mother's watchful eye... and swift hand."
Seymour Skinner,"Oh, there's mother now. Watching me. What's that, mother? They have a right to be here. It's school business. I... Mother, that sailor suit doesn't fit anymore!"
Marge Simpson,I think we should go.
Lisa Simpson,Uh - huh.
,
Lisa Simpson,Just like Oscar the Grouch.
Homer Simpson,Pepi!
Pepi,Poppa Homer!
Homer Simpson,"Son, your life is gonna get better -- starting now."
,
Pepi,Your son Bart sounds very bad.
Homer Simpson,"Oh, he is."
Homer Simpson,"Son, I just want you to know I love you very much."
Bart Simpson,Shaddap!
Homer Simpson,Mmm... grapefruit.
,
,
Homer Simpson,I just press this button and the door opens like magic.
Pepi,Why does it stop there?
Homer Simpson,Because it's a stupid piece of junk!
Homer Simpson,"Well, I'd better get you home."
Homer Simpson,What's the matter?
Bart Simpson,Uh-oh. Better not let him see me.
Pepi,I've spent every night of my life in the city. I have never seen the stars.
,
Pepi,Tell me more! I want to know all the constellations!
Homer Simpson,"Well, there's... Jerry, the cowboy. And that big dipper-looking thing is Alan... the cowboy."
Pepi,"Oh, Poppa Homer, you are so learned."
Homer Simpson,"""Learned,"" son, it's pronounced ""learned."""
Pepi,"I love you, Poppa Homer."
Homer Simpson,"I love you too, Pepsi."
Pepi,Pepi.
Homer Simpson,Pepi.
Lisa Simpson,MUST YOU BE FOREVER DIALING THAT PHONE?!!!
Lisa Simpson,Excuse me.
Lisa Simpson,"Oh, c'mon! Hurry!"
Marge Simpson,Lisa?
Marge Simpson,"Aw, Lisa. You tried your best."
Voice On Phone,"At the tone, the time will be: Twelve midnight."
Lisa Simpson,I made it!
,
,
Bart Simpson,"Hey, Homer, have you seen my skateboard?"
Homer Simpson,I gave it to Pepi.
Bart Simpson,Who the hell is Pepi?
Homer Simpson,He's my little brother. That's right -- you're not the only one who can abuse a non-profit organization.
Bart Simpson,Who needs you? Tom's a better father than you ever were.
Homer Simpson,"Come on, Bart. We had our fun. Remember when I used to push you on the swing?"
Bart Simpson,I was faking it.
Homer Simpson,Liar!
Bart Simpson,"Oh yeah? Remember this? ""Higher, Dad, higher!... Whee, whee... Push harder, Dad!..."""
Homer Simpson,Stop it. Stop it. Stop it!
,
TOM,"You know, the whale is not really a fish. They're mammals like you and me."
Pepi,Is that true?
Homer Simpson,No.
Homer Simpson,"Come 'n' get it. Woo! Heh, heh, heh. Come `n get it. Woo! Heh, heh, heh. Stupid dolphin."
Homer Simpson,Hey!
Homer Simpson,He's got my hotdog!
Homer Simpson,"Oh... it's you. So, you're looking well."
TOM,"Come on, Bart. You know better than to talk to strangers."
Homer Simpson,"For your information, I'm his father!"
TOM,His father? The drunk and gambler?
Homer Simpson,That's right. And who might you be?
Homer Simpson,
TOM,
TOM,"There you go, fellas."
TOM,
Homer Simpson,Look! There's another disadvantaged boy.
TOM,Where?
,
,
Lou,"There's a couple of guys fighting at the Aquarium, Chief."
Chief Wiggum,They still sell those frozen bananas?
Lou,I think so.
Chief Wiggum,Let's roll.
Kent Brockman,"This just in, a fist fight is in progress in downtown Springfield. Early reports indicate -- and these are very preliminary -- that one of the fighters is a giant lizard."
Kent Brockman,Do we have a source on this? Uh-huh. A bunch of drunken frat boys? All right. I could use some names. I.P. Freely?
,
TOM,Uh... Homer?
Homer Simpson,Oh. Right.
,
,
Homer Simpson,This is even more painful than it looks.
Bart Simpson,"This is all my fault, Dad. I didn't want you to get hurt."
TOM,Now I need to find another little brother.
Pepi,And I need to find another big brother.
TOM,My car's gonna feel so empty on the ride home.
Pepi,"And me, I have no ride at all."
TOM,I already bought a giant ham for dinner. It's gonna go to waste.
Pepi,Don't talk about food. I'm so hungry.
Pepi,"Well, goodbye."
Bart Simpson,Wait! I've got an idea!
TOM,An idea?
Pepi,Huh?
,
Bart Simpson,"Another beer, Dad?"
Homer Simpson,"Thanks, son."
Ralph Wiggum,I ate it.
Bart Simpson,"Dad, remember when Tom had you in that headlock and you screamed, ""I'm a hemophiliac"" and when he let you go you kicked him in the back?"
Homer Simpson,Yeah?
Bart Simpson,Will you teach me how to do that?
Homer Simpson,"Sure, boy."
Homer Simpson,"First, you gotta shriek lika a woman, and keep sobbing till he turns away in disgust. That's when it's time to kick some back."
Homer Simpson,And then when he's lying on the ground...
Bart Simpson,Yeah.
Homer Simpson,Kick him in the ribs...
Bart Simpson,Yeah.
Homer Simpson,"Step on his neck, and run like hell."
,
,
,
Marty,Doin' the Monster Mash with you on this beautiful Valentine's Day.
Bill,"Marty, why did you play that song today? There must be thousands of love songs."
Marty,"Well, it's, it's kind of a love song. All the monsters, enjoying each other's company... dancing... holding their evil in check."
Bill,"You played the wrong record, didn't you?"
Marty,Why are you doing this to me?
,
Grampa Simpson,"Bah! This is just another ""Hallmark Holiday,"" cooked up to sell cards."
Jasper Beardly,Awww. A valentine from my granddaughter.
Grampa Simpson,Could I have the envelope?
,
Moe Szyslak,To Moe -- From Your Secret Admirer.
Barney Gumble,Yoo hoo!
Moe Szyslak,"Oh, God, no."
Barney Gumble,
,
Marge Simpson,And this is for my Huggy Bug in honor of this special day.
Homer Simpson,Happy... Valentine's Day!
Marge Simpson,"Ah, thank you, dear."
Homer Simpson,Woo hoo!
Lisa Simpson,"Oh, no. It's a package from Ralph."
Bart Simpson,"I'll bet you have a lot of things planned, eh Dad?"
Homer Simpson,"Uh, kind of. Nobody makes a big deal out of Valentine's Day."
,
Ned Flanders,"IF YOU THINK I'M CUDDLY / AND YOU WANT MY COMPANY / COME ON WIFEY LET ME KNOW... UGH, UGH, UGH... OOOH..."
,
Bart Simpson,"Hey, Dad. Why don't you give Mom her present?"
Homer Simpson,"What a nice idea, son. It's uh, upstairs on the second floor of our house. I'll just go get it."
Homer Simpson,
,
Homer Simpson,"Apu, you gotta help me! I need a valentine's gift for my wife."
Homer Simpson,Perhaps this might be appropriate.
Homer Simpson,Yes! You saved my life. How much?
Apu Nahasapeemapetilon,One hundred dollars.
Homer Simpson,What? That's highway robbery! I won't pay it!
Apu Nahasapeemapetilon,"Ohh, I think you will."
Homer Simpson,"Forget it, pal!"
Apu Nahasapeemapetilon,La da de / La da da... La da dum da de da da dum da dum da de
Homer Simpson,All right. But I'll never shop here again.
Apu's Brain,"If he discovers the discount supermarket next door, all is lost."
Apu Nahasapeemapetilon,Nickel off on expired baby food.
Homer Simpson,Sold!
,
JANEY,"Miss Hoover, can we exchange our valentines?"
Miss Hoover,"Not just yet, Janey. First, we're going to construct paper mailboxes to store the valentines."
Lisa Simpson,Isn't that just pointless busywork?
Miss Hoover,Bullseye. Get cracking.
Miss Hoover,"Yes, Ralph."
Ralph Wiggum,My parents won't let me use scissors.
Miss Hoover,"The children are right to laugh at you, Ralph. These things couldn't cut butter."
Miss Hoover,"Now, take out your red crayons."
Ralph Wiggum,Miss Hoover?
Miss Hoover,Yes Ralph.
Ralph Wiggum,I don't have a red crayon.
Miss Hoover,Why not?
Seymour Skinner,Attention everyone. This is Principal Skinner.
,
Seymour Skinner,"Some student -- possibly Bart Simpson -- has been circulating candy hearts featuring crude, off-color sentiments. Well let me tell you something, Valentine's Day is no joke..."
Seymour Skinner,"Sending your chick a valentine, eh?"
JOHNNY,Yep.
JOHNNY,
Seymour Skinner,Johnny!
Seymour Skinner,Johnny.
,
Seymour Skinner,JOHNNY!!
Bart Simpson,"Cool, I broke his brain."
,
Miss Hoover,"All right, children, you may now exchange valentines."
Ralph Wiggum,Miss Hoover?
Ralph Wiggum,I glued my head to my shoulder.
,
Ralph Wiggum,
Lisa Simpson,Poor Ralph.
Lisa Simpson,"Here you go, Ralph."
Ralph Wiggum,You choo choo choose me?
Lisa Simpson,Happy Valentine's.
,
Bart Simpson,"All right, special holiday meal."
Truck Driver,Where do you want these beef hearts?
Lunchlady Doris,On the floor.
Truck Driver,It doesn't look very clean.
Lunchlady Doris,"Just do your job, heart-boy."
,
Milhouse Van Houten,"Bart, what's wrong?"
Bart Simpson,My baboon heart! Body... rejecting it...
,
Ralph Wiggum,Can I walk you home... valentine?
Lisa Simpson,"Sure, I guess."
Ralph Wiggum,That valentine sure was funny.
Lisa Simpson,Glad you liked it.
Ralph Wiggum,"It says, ""choo choo choooose me,"" and there's a picture of a train."
Lisa Simpson,Yeah. Nice gag.
Ralph Wiggum,Uh. So... Do you like... stuff?
,
Ralph Wiggum,The doctor said I wouldn't have so many nosebleeds if I kept my finger out of there.
Lisa Simpson,"Well, here's my house."
Homer Simpson,
Krusty the Clown,"Hey, kids! Don't forget to watch my 29th Anniversary Show -- featuring clips like this one of Sideshow Mel whacked out on wowee sauce!"
Sideshow Mel,Everyone's always kissing your ass. Well I'm not afraid to tell you you're a .
Bart Simpson,"Oh, I'd give anything to go to that show!"
Homer Simpson,I'd sell my first-born son.
Bart Simpson,Hey!
Homer Simpson,You'll do as your told.
Lisa Simpson,Ralph thinks I like him. But I only gave him a valentine 'cause I felt sorry for him.
Homer Simpson,"Ah, sweet pity. Where would my love life have been without it?"
Lisa Simpson,What do you say to a boy to let him know you're not interested?
Marge Simpson,"Well, honey, I--"
Homer Simpson,"Let me handle this, Marge. I've heard 'em all. ""I like you as a friend,"" ""I think we should see other people,"" I no speak English""..."
Lisa Simpson,I get the idea.
Homer Simpson,"""I'm married to the sea,"" ""I don't want to kill you, but I will--"
Marge Simpson,"Honey, honey, I'd tell this boy that you're very flattered, but you're just not ready for this kind of thing."
Lisa Simpson,"Thanks, Mom."
Homer Simpson,"And if that doesn't work, six simple words: ""I'm not gay, but I'll learn."""
,
Lisa Simpson,"Ralph, I think you're nice but, I'm just not ready for this kind of thing. Do you understand?"
Ralph Wiggum,I guess so.
Lisa Simpson,Good.
,
Ralph Wiggum,"Dad, how do you get a girl to like you?"
Chief Wiggum,"Son, whether you want to win a girl or crack a nut, the key is persistence. Keep at it and never lose your cool."
Chief Wiggum,Let that be a lesson to the rest of you... nuts.
Ralph Wiggum,"Okay, dad, I'll be persistent. Is that how you got mom?"
Rex,"Your broth, Mr. President."
Chief Wiggum,"Well, son, never underestimate the appeal of a man in uniform."
Chief Wiggum,"Ah, yeah."
,
Krusty the Clown,"Hey boys and girls, only four days `til my Anniversary Show. Twenty-nine years... and when I came on they said I wouldn't last a week. And you know where those reviewers are? All dead! How ya doin' down there fellas? Heh, heh. Anyway, here's a clip:"
Krusty the Clown,"Now, why do they call this a Urine Monkey? Ugh... I just found out."
Bart Simpson,That's funny for so many reasons. We have to go to that show.
Lisa Simpson,Forget it. To get those tickets our parents would have to be part of Springfield's cultural elite.
Homer Simpson,Can you believe Flanders threw out a perfectly good toothbrush?
Homer Simpson,Eww.
Lisa Simpson,"Oh no, it's Ralph! Just make some excuse."
Homer Simpson,She's in the can. Go away.
Ralph Wiggum,"Yes, sir. I'd do anything for Lisa."
Homer Simpson,Really?
Ralph Wiggum,"Mr. Simpson, the tar fumes are making me dizzy."
Homer Simpson,"Yeah, they'll do that."
,
Rex,"""Dearest Martha, since boyhood I have yearned to be on the one-dollar bill. And with your help, this I shall achieve. Sincerely, George Washington."""
Miss Hoover,"Thank you, Rex. I've selected the cast for our President's Day pageant. Martha Washington will be played by Lisa Simpson."
Lisa Simpson,
Miss Hoover,George Washington will be played by... Ralph Wiggum.
Rex,What? This is a travesty! Everyone knows I'm the best actor in this ridiculous school.
Miss Hoover,"Sit down, Rex."
Rex,"I will not sit down. Someone's gotten to you, you deceitful cow."
Miss Hoover,"That's absurd, Rex. Ralph won the part fair and square."
Chief Wiggum,"That's the signal. Take the boot off the car, boys."
,
Lisa Simpson,Now Ralph is in this play with me. I just know he's going to embarrass me in front of the whole school.
Lisa Simpson,"Oh, a Malibu Stacy Convertible! ""Look in the tunk."" He must mean trunk."
Lisa Simpson,"Tickets to the Krusty Anniversary Show! Oh, he must want me to go with him."
Bart Simpson,"Oh, it isn't fair. I'm ten times the Krusty fan you are. I even have the Krusty home pregnancy test."
Lisa Simpson,I'm not sure I should go. I don't even like him.
Bart Simpson,"You're right, Lis. You shouldn't go. It wouldn't be honest. I'll go, disguised as you."
Lisa Simpson,What if he wants to hold hands?
Bart Simpson,I'm prepared to make that sacrifice.
Lisa Simpson,What if he wants a kiss?
Bart Simpson,I'm prepared to make that sacrifice.
Lisa Simpson,What if he...
Bart Simpson,You don't want to know how far I'll go.
Lisa Simpson,"Dad, is it right to take things from people you don't like?"
Homer Simpson,"Sure it is, honey. You do mean stealing, don't you?"
Lisa Simpson,"Well, actually, it's not as bad as stealing, but my conscience is bothering me."
Homer Simpson,"Your conscience? Lisa, don't let that pushy little weenie tell you what to do."
Homer's Conscience,"Homer, that's a terrible thing to say."
Homer Simpson,"Oh, shaddup."
Homer's Conscience,"Yes, sir."
,
Ralph Wiggum,I am so glad you cho-cho-chose to come.
Lisa Simpson,"Hmm, I think you should give that a rest, Ralph. Chief Wiggum, how did you ever get these tickets?"
Chief Wiggum,Krusty knows how to play ball.
,
Chief Wiggum,"Ah, nothin' beats a good porno movie."
Krusty the Clown,Chief Wiggum! Is this a bust?
Chief Wiggum,"Uh. Yeah. That's just what it is, a bust."
Lisa Simpson,That story isn't suitable for children.
Chief Wiggum,Really? I keep my pants on in this version.
Lisa Simpson,Eiw.
,
Announcer,It's the Krusty the Clown 29th Anniversary Show!
Krusty the Clown,"Hey! Thank you, thank you. Hey, Mr. President!"
Krusty the Clown,"I campaigned for the other guy, but I voted for you."
Krusty the Clown,"Y'know, I started this show so long ago, the Ayatollah only had a goatee. Ha! Ha!"
Krusty the Clown,"What's the matter, don't you people read the papers? Ahh, let's look at some clips."
Robert Frost,He will not see me stopping here / To watch his woods fill up with snow...
Krusty the Clown,"Hey, Frosty, you want some snow, man?"
Krusty the Clown,Baaa!
FROST,"We discussed this and I said ""No."""
,
Krusty the Clown,Now here's a clip from 1973.
Krusty the Clown,TRY TO RUN / TRY TO HIDE / BREAK ON THROUGH TO THE OTHER SIDE...
Krusty the Clown,
Krusty the Clown,What was I on?
Ralph Wiggum,"Lisa, you want a bite of my ice cream?"
Lisa Simpson,"No, thanks."
Chief Wiggum,"Send it this way, boy."
Ralph Wiggum,Whoops.
Lisa Simpson,Aw.
Chief Wiggum,Aw. Nothing gets chocolate out. See?
Krusty the Clown,I've worked with some marvelous second bananas over the years... But none more memorable than Sideshow Raheem.
Krusty the Clown,"Eh, the script says I'm supposed to bonk you with this."
Raheem,I wouldn't.
Krusty the Clown,Right on.
Krusty the Clown,"Angry, angry young man. Now, for my favorite part of the show: Whazzat say? Talk to the audience!? Oh, God, this is always death. All right."
Lisa Simpson,Oh no. Please don't show me with Ralph.
Krusty the Clown,"What's your name, son?"
Ralph Wiggum,Ralph.
Lisa Simpson,
Krusty the Clown,"And is this your girlfriend, Ralph?"
Ralph Wiggum,Yes! I love Lisa Simpson and when I grow up I'm going to marry her.
Lisa Simpson,Noooo!!
Lisa Simpson,"Now you listen to me -- I don't like you. I never liked you, and the only reason I gave you that stupid valentine is `cause nobody else would!"
Seymour Skinner,First prize... first prize...
Bart Simpson,"Watch this, Lis. You can actually pinpoint the second when his heart rips in half."
Bart Simpson,"A-a-a-a-and, now."
Lisa Simpson,
,
Ralph Wiggum,At least you guys are my friends.
Chief Wiggum,"Son, I know just how you feel. You got a great little girl and the world's your oyster!"
Ralph Wiggum,"No, Dad, she made a fool out of me."
Chief Wiggum,"Heyyy... Come to think of it, she did. Well, she didn't reckon with the awesome power of the chief of police."
Chief Wiggum,"Now, where did I put my badge? Hey! That duck's got it."
Chief Wiggum,"Aw, come on! Come on! Give that back. I need it. Ah, keep it."
,
Homer Simpson,"Something wrong, officer?"
Chief Wiggum,Yeah. You got a tail-light out.
Homer Simpson,Where?
Chief Wiggum,Right there.
Homer Simpson,"You know, one day honest citizens are going to stand up to you crooked cops."
Chief Wiggum,"They are? Oh, no! Have they set a date?"
,
,
Seymour Skinner,"This orange drink is the only way to recoup our terrible losses from ""Fire Drill Follies."" I just don't know what went wrong."
Groundskeeper Willie,You opened the show with a fire drill and everyone cleared out.
Seymour Skinner,"Hmm. So mother was right -- it was my fault. Go ahead, water it down some more."
Groundskeeper Willie,"My god, man! I've watered her down as far as she'll go. I canna water no more."
,
Seymour Skinner,"Good evening, everyone, and welcome to a wonderful evening of theater and picking up after yourselves."
Seymour Skinner,We begin with a tribute to our lesser-known Presidents.
Presidents,WE ARE THE MEDIOCRE PRES-I-DENTS / YOU WON'T FIND OUR FACES / ON DOLLARS OR ON CENTS / THERE'S TAYLOR/ THERE'S TYLER / THERE'S FILLMORE AND THERE'S HAYES / THERE'S WILLIAM HENRY HARRISON...
Harrison,I DIED IN THIRTY DAYS!
Presidents,We... are... the...
Presidents,ADEQUATE / FORGETTABLE / OCCASIONALLY REGRETTABLE / CARETAKER PRESIDENTS OF THE U... S... A...!
Bart Simpson,"Hey, girls. Check out this President."
Bart Simpson,I am not a butt.
Girls,Miss Hoover.
Miss Hoover,"Bart, do you want to play John Wilkes Booth, or do you want to act like a maniac?"
Bart Simpson,I'll be good.
Lisa Simpson,"Ralph, I'm sorry I..."
Ralph Wiggum,Leave me alone. I'm here to play George Washington.
Lisa Simpson,Uh... Ralph?
Milhouse Van Houten,"Miss Hoover, this beard's giving me a rash."
Miss Hoover,"Milhouse, you have one line and then you're shot. Now get out there."
Milhouse Van Houten,I thought that Civil War would never end. Now to soothe my head with an evening at Ford's Theater.
Milhouse Van Houten,"Oh, no! John Wilkes Booth!"
Bart Simpson,"Hasta la vista, Abie."
Homer Simpson,"C'mon, boy! Finish him off!"
Presidents,
Bart Simpson,"You're next, Chester A. Arthur!"
Bart Simpson,"Unhand me, Yankee."
Seymour Skinner,"And now, our evening comes to an end..."
Homer Simpson,Woo hoo!
Seymour Skinner,... with a thorough re-telling of the life of George Washington.
Homer Simpson,
Lisa Simpson,"Dear, dear George Washington. Can this liberty you dream of be worth all this bloodshed?"
Lisa Simpson,"Well, can it?"
Ralph Wiggum,"Dear madam. Would you put a price on the air we breathe, or the Providence that sustains us?"
Lisa Simpson,But couldn't we just give in to the British?
Ralph Wiggum,Never!
,
Patty Bouvier,That boy is magnificent.
Jimbo Jones,He makes me want to learn more about our founding fathers.
Kearney Zzyzwicz,To the library!
Jimbo Jones,Yeah.
Ralph Wiggum,Dear Martha. I fear my time is at hand.
Lisa Simpson,"Oh, George..."
Ralph Wiggum,"I asked for no broth. Away with you, lest my cane find your backside!"
Rex,Hm. Yes.
Lisa Simpson,"Please don't leave me, George."
Ralph Wiggum,"Dear wife, If I could take but one treasure with me to the next life, it would be your tender kiss."
Selma Bouvier,Now that's a man.
Groundskeeper Willie,I dinna cry when me own father was hung for stealing a pig. But I'll cry now.
Presidents' Heads,FROM SEA TO SHINING SEA!
Teddy Roosevelt,Thanks for coming. And don't forget to purchase some orange drink for the long ride home.
,
Girls,"Ralph! / Ralph, sign my book. / Kiss my hand! / Etc."
Ralph Wiggum,Lisa!
Lisa Simpson,"Hi, Ralph. You were great tonight."
Ralph Wiggum,"Ah, thanks."
Lisa Simpson,I've got something for you.
Ralph Wiggum,"Let's bee friends. It says ""bee"" and there's a picture of a bee on it!"
Lisa Simpson,I thought you'd like it.
Chief Wiggum,Aww. Lookit that.
Dispatcher,Attention all units! Riot in progress at...
Chief Wiggum,Not tonight.
Bill,Hey hey! Bill and Marty here wrapping up a beautiful President's Day.
Marty,"To George and Abe and all the rest, here's a special song just for you."
Marty,Dog gone it.
,
Seymour Skinner,"Well Edna, for a school with no Asian kids, I think we put on a pretty darn good science fair."
Seymour Skinner,Go-go ray?
Bart Simpson,Allow me to demonstrate.
Seymour Skinner,Dah! What the...?
Edna Krabappel-Flanders,Can't... stop... doing... The Monkey!
Bart Simpson,
Seymour Skinner,I'm disrupting the learning process... and I love it!
Seymour Skinner,
Seymour Skinner,First prize!
,
Lisa Simpson,First prize... first prize...
Lisa Simpson,First prize... first prize...
Bart Simpson,Why are you saying that?
Lisa Simpson,Just screwing with your mind.
Marge Simpson,"Homer, I want you to encourage Lisa with her science fair project."
Homer Simpson,"Yeah, syrup is better than jelly."
Lisa Simpson,I've grown a futuristic tomato by fertilizing it with Anabolic steroids.
Bart Simpson,The kind that help our Olympic athletes reach new peaks of excellence?
Lisa Simpson,The very same. I think this tomato could wipe out world hunger.
3rd World Father,More tomato?
3rd World Family,Yes please!
Homer Simpson,"Where's your Science Fair project, boy?"
Bart Simpson,I thought I'd investigate the effects of cigarette smoking on dogs.
Santa's Little Helper,
Marge Simpson,"Bart, don't give the dog cigarettes!"
Homer Simpson,"Whelp, time to go to work."
Homer Simpson,"Roll in at nine, punch out at five. That's the plan."
Homer Simpson,Then to the Duff Brewery.
Homer Simpson,"I gotta think of a lie, fast."
Marge Simpson,"Homer, are you going to the Duff Brewery?"
Homer Simpson,
,
Homer Simpson,"If the plant ye wish to flee, go to sector 7-B."
Homer Simpson,
Homer Simpson,"To overcome the spider's curse, simply quote a bible verse. Uh, thou shall not..."
,
Barney Gumble,"Hey, that looks like Princess Di!"
Barney Gumble,"Ah, wait. It's just a pile of rags."
,
Lisa Simpson,"Oh Bart, I forgot my math book. Would you hold this for me, please?"
Bart Simpson,"Soitenly. Nyuck, nyuck, nyuck."
Seymour Skinner,Whoop. Shoe's untied.
Seymour Skinner,"Over, under, in and out, that's what shoe tying's all about."
Seymour Skinner,Nooooo!
Lisa Simpson,Bart!!!!!
,
Mechanical Figure,
Tour Guide,Welcome to the Duff Brewery. Now I'm sure all of you have heard the rumors that a batch of Duff was contaminated with Strychnine.
Tourists,Strychnine? / First I've heard of it. / News to me. / Etc.
Tour Guide,Are you sure? Everyone's talking about it. It was even on CNN last night.
Tourists,CNN? / Wow. / No we didn't. / Etc.
Tour Guide,Well it's not true. Let's go.
,
Tour Guide,Now here's one of our favorite Duff Beer commercials from the early 1950s.
Cartoon Doctor,Only Duff fills your q-zone with pure beer goodness.
Cartoon Doctor,So drink up. And up! And up!
Announcer,Duff Beer! Proud sponsors of Amos and Andy.
Tour Guide,We're proud of all our Duff commercials. But here's a very special one from 1960.
Richard Nixon,"Well, I would suggest Mr. Vanocur, that if you knew the president, that that was probably a facetious remark..."
Announcer,And now a word from our sponsor.
Kennedy,I would like to take this opportunity to express my fondness for Duff beer.
Richard Nixon,I'd also like to express my fondness for that particular beer.
Homer Simpson,The man never drank a Duff in his life.
,
Tour Guide,"... And here we have Duff, Duff Lite, and our newest flavor, Duff Dry."
Tour Guide,What does the future hold for Duff? Let's just say we've got a few ideas up our sleeve.
Homer Simpson,Like what?
Tour Guide,"Um, I'd rather not get into it right now."
Homer Simpson,Why not?
Tour Guide,"All right, we don't have any ideas for the future. We got nothing. Happy?"
Homer Simpson,No.
,
Lisa Simpson,"Mom, Bart wrecked my project and the science fair's in three days!"
Marge Simpson,"Well, I got an idea! Why don't you run a hamster through a maze?"
Bart Simpson,Help me! Help me!
Lisa Simpson,
Marge Simpson,What's so funny?
Lisa Simpson,"Oh... I was just thinking of a joke I saw on ""Herman's Head."""
Marge Simpson,
,
Tour Guide,Now this is the most important man on the tour. He's in charge of quality control.
Man,Fine. Fine. Mouse. Fine. Mouse. Rat. Fine. Syringe. Fine. Nose. Fine.
Barney Gumble,"Lemme just say, you're doin' a great job, Phil."
Man,"Hey, thanks a lot. That makes it all worthwhile."
